"state","TotalBallotsCounted2020","TotalVotesPres2020","VotingEligiblePop2020","eligTurnoutRateTB","eligTurnoutRatePres","VotingAgePop2020","PercNonCitizen2020","Prisoners2021","Probation2020","Parole2020","VotingFelons2020"
"Alabama",2325000,2323282,3683055,0.6312694217164827,0.6308029611287369,3837540,0.023,26421,50997,10266,67782
"Alaska",361400,359530,525568,0.6876369946419874,0.6840789393570385,551117,0.034,4778,2074,1348,6927
"Arizona",3420585,3387054,5189000,0.6591992676816342,0.6527373289651185,5798473,0.089,33865,76844,7536,93699
"Arkansas",1223675,1219069,2182375,0.5607079443267083,0.5585973996219715,2331171,0.036,17625,36719,24698,64974
"California",17785151,17500881,25962648,0.6850283915569784,0.6740792002418243,30783255,0.15,97608,,102586,207316
"Colorado",3295666,3256980,4313054,0.7641142448019431,0.7551447303928956,4595504,0.057,17168,,,18905
"Connecticut",1861086,1824280,2603327,0.7148875266149816,0.700749464051193,2839560,0.077,10506,,4452,17720
"Delaware",509241,504346,720531,0.7067579326913068,0.6999643318608082,780822,0.058,4954,14176,350,15013
"District of Columbia",346491,344356,540685,0.6408370862886893,0.636888391577351,582065,0.071,,,,
"Florida",11144855,11067456,15551739,0.7166307896499549,0.7116539185746366,17543341,0.101,84678,205033,4345,223139
"Georgia",5023159,4999960,7383562,0.6803164922296312,0.6771745127893556,8255108,0.066,48439,416771,20426,329754
"Hawaii",579784,574469,1007920,0.5752281927137074,0.5699549567425987,1114466,0.091,4149,,,5007
"Idaho",878527,868014,1292701,0.6796057247576972,0.6714731403472265,1384683,0.041,9110,34392,5267,34968
"Illinois",6050000,6033744,9027082,0.6702054994072282,0.6684046960025399,9832749,0.078,29634,,,38464
"Indiana",3068542,3033121,5000007,0.6137075408094429,0.606623350727309,5214546,0.036,25286,,,26302
"Iowa",1700130,1690871,2321131,0.7324575821011395,0.7284685784645503,2439743,0.035,8473,29137,6652,33933
"Kansas",1375125,1373763,2087946,0.6586018029201904,0.6579494871993816,2223238,0.049,8709,16455,5438,25522
"Kentucky",2150954,2136768,3312250,0.6493936146124236,0.6451107253377614,3479257,0.028,19744,46967,15881,68281
"Louisiana",2169401,2148062,3373932,0.6429889517631061,0.6366642836903649,3557594,0.028,27296,35025,29321,83304
"Maine",828305,819461,1085285,0.763214270905799,0.7550652593558375,1104489,0.017,1675,,,
"Maryland",3066945,3037030,4313416,0.7110246264213792,0.7040892879332761,4729400,0.084,15637,,,18165
"Massachusetts",3658005,3631402,5072901,0.7210874014691002,0.7158432620703618,5566452,0.087,6001,,,7772
"Michigan",5579317,5539302,7550147,0.7389679962522584,0.7336680994423023,7870864,0.036,32374,,,38183
"Minnesota",3292997,3277171,4118462,0.7995695966115506,0.7957268999932499,4378737,0.041,8636,100076,7381,79140
"Mississippi",1325000,1313894,2201950,0.6017393673789141,0.5966956561229819,2279412,0.014,19802,27294,9866,46032
"Missouri",3026028,3025962,4603060,0.6573948634169444,0.657380525128936,4794796,0.024,23911,43871,19251,76599
"Montana",612075,605637,837298,0.7310121366586328,0.7233231179341166,851663,0.012,4691,,,3754
"Nebraska",966920,956383,1383551,0.6988683467396576,0.6912524366647851,1469878,0.048,5649,14894,958,15455
"Nevada",1407754,1405376,2153915,0.6535791802369174,0.6524751440980726,2450946,0.116,10304,,,12399
"New Hampshire",814499,804991,1079434,0.7545611866959907,0.7457528667801829,1115916,0.03,2086,,,2635
"New Jersey",4635585,4549353,6158999,0.7526523384725342,0.7386513620151587,6952008,0.111,12657,,,18099
"New Mexico",928230,923965,1515355,0.6125495345975036,0.6097350125878095,1634037,0.062,4970,12090,2805,17188
"New York",8690139,8616861,13670596,0.6356810632104116,0.6303207994735562,15372655,0.105,31148,,45192,87600
"North Carolina",5545848,5524804,7759051,0.7147585445694326,0.7120463572155925,8328642,0.057,29627,80068,14215,97497
"North Dakota",364251,361819,565143,0.6445289068430468,0.6402255712271053,584610,0.03,1817,,,1679
"Ohio",5974121,5922202,8859167,0.6743434230328879,0.668482939761718,9144626,0.026,45313,,,49892
"Oklahoma",1565000,1560699,2845835,0.5499264714925496,0.5484151400204158,3031792,0.043,22941,41562,1780,55106
"Oregon",2413890,2374321,3196425,0.7551843074685,0.7428051651454359,3405863,0.057,12518,,,13795
"Pennsylvania",6958551,6915283,9781976,0.7113645545644357,0.7069413173780021,10186170,0.035,37910,,,44148
"Rhode Island",522488,517757,799642,0.6534023975729139,0.6474859999849932,857507,0.064,2393,,,2766
"South Carolina",2533010,2513329,3926305,0.6451383680075796,0.6401257671016388,4116633,0.036,16318,31975,4980,43392
"South Dakota",427529,422609,648104,0.6596611037734684,0.6520697295495784,675016,0.024,3444,5989,3201,10781
"Tennessee",3065000,3053851,5124867,0.5980643009857621,0.595888829895488,5391220,0.036,23735,61253,10842,74926
"Texas",11350000,11315056,18784280,0.6042286422476667,0.602368363333596,22058260,0.126,139631,368167,109213,492390
"Utah",1515845,1488289,2191487,0.6916970075569693,0.6791228969188501,2343384,0.062,6009,,,6287
"Vermont",370968,367428,499884,0.7421081690952301,0.7350265261540677,511637,0.023,1360,,,
"Virginia",4523142,4460524,6196071,0.730001641362728,0.7198955596215731,6727440,0.068,27162,63111,1860,76732
"Washington",4116894,4087631,5437844,0.7570820347181714,0.7517006740171288,6070046,0.091,13772,76672,12222,78536
"West Virginia",802726,794652,1394028,0.5758320492845194,0.5700402000533705,1422098,0.009,5873,6593,4287,15132
"Wisconsin",3310000,3298041,4368530,0.7576919467189192,0.7549544125827223,4586746,0.032,20873,42909,21015,71193
"Wyoming",278503,276765,431364,0.6456333861889263,0.6416043063398893,447915,0.022,2154,5383,934,6759
"United States",,,,,,,,1070834,,,
